Model,Corruption,TTA,Class,Precision,Recall,F1,Specificity,Jaccard
YorubaNet,Gaussian Blur (σ=2),Yes,é,0.9183673469387755,0.8181818181818182,0.8653846153846154,0.9978609625668449,0.7627118644067796
YorubaNet,Gaussian Blur (σ=2),Yes,ì,0.7547169811320755,0.7272727272727273,0.7407407407407407,0.993048128342246,0.5882352941176471
YorubaNet,Gaussian Blur (σ=2),Yes,í,0.8918918918918919,0.6,0.717391304347826,0.9978609625668449,0.559322033898305
YorubaNet,Gaussian Blur (σ=2),Yes,ò,0.7833333333333333,0.8545454545454545,0.8173913043478261,0.993048128342246,0.6911764705882353
YorubaNet,Gaussian Blur (σ=2),Yes,ó,0.7924528301886793,0.7636363636363637,0.7777777777777778,0.9941176470588236,0.6363636363636364
YorubaNet,Gaussian Blur (σ=2),Yes,ù,0.9583333333333334,0.8363636363636363,0.8932038834951457,0.9989304812834224,0.8070175438596491
YorubaNet,Gaussian Blur (σ=2),Yes,ú,0.65625,0.7636363636363637,0.7058823529411765,0.9882352941176471,0.5454545454545454
YorubaNet,Gaussian Blur (σ=2),Yes,ṣ,0.9375,0.8181818181818182,0.8737864077669902,0.9983957219251337,0.7758620689655172
YorubaNet,Gaussian Blur (σ=2),Yes,ẹ,0.8166666666666667,0.8909090909090909,0.8521739130434782,0.9941176470588236,0.7424242424242424
YorubaNet,Gaussian Blur (σ=2),Yes,ọ,0.7457627118644068,0.8,0.7719298245614035,0.9919786096256684,0.6285714285714286
YorubaNet,Salt-Pepper Noise (5%),No,a,0.0,0.0,0.0,1.0,0.0
YorubaNet,Salt-Pepper Noise (5%),No,b,0.25,0.01818181818181818,0.03389830508474576,0.9983957219251337,0.017241379310344827
YorubaNet,Salt-Pepper Noise (5%),No,d,0.0,0.0,0.0,0.9946524064171123,0.0
YorubaNet,Salt-Pepper Noise (5%),No,e,0.0,0.0,0.0,1.0,0.0
YorubaNet,Salt-Pepper Noise (5%),No,f,0.0,0.0,0.0,0.9994652406417113,0.0
YorubaNet,Salt-Pepper Noise (5%),No,g,0.047619047619047616,0.14545454545454545,0.07174887892376682,0.9144385026737968,0.037209302325581395
YorubaNet,Salt-Pepper Noise (5%),No,gb,0.16964285714285715,0.34545454545454546,0.2275449101796407,0.9502673796791444,0.12837837837837837
YorubaNet,Salt-Pepper Noise (5%),No,h,0.0,0.0,0.0,1.0,0.0
YorubaNet,Salt-Pepper Noise (5%),No,i,0.0,0.0,0.0,1.0,0.0
YorubaNet,Salt-Pepper Noise (5%),No,j,0.06581740976645435,0.5636363636363636,0.11787072243346007,0.7647058823529411,0.06262626262626263
YorubaNet,Salt-Pepper Noise (5%),No,k,0.0,0.0,0.0,1.0,0.0
